M2SL,GDP,Corporate Bonds
286.6,3123.978,4.12
290.1,3194.429,4.23
295.2,3196.683,4.47
296.5,3205.79,4.57
298.2,3277.847,4.61
300.1,3260.177,4.45
304.1,3276.133,4.41
309.5,3234.087,4.3
314.1,3255.914,4.32
319.9,3311.181,4.25
325.6,3374.742,4.41
331.1,3440.924,4.42
337.5,3502.298,4.42
345.5,3533.947,4.33
350.8,3577.362,4.34
357.2,3589.128,4.28
365.2,3628.306,4.21
373.3,3669.02,4.21
381.1,3749.681,4.26
388.3,3774.264,4.32
395.2,3853.835,4.39
401.7,3895.793,4.4
410.1,3956.657,4.4
419.1,3968.878,4.42
427.5,4064.915,4.43
435.4,4116.267,4.43
442.9,4207.782,4.48
452.6,4304.731,4.56
462.0,4409.518,4.74
469.3,4424.581,4.96
470.9,4462.053,5.16
475.7,4498.66,5.41
481.6,4538.498,5.2
492.1,4541.28,5.11
506.3,4584.246,5.58
518.2,4618.812,5.82
527.4,4713.013,6.17
535.7,4791.758,6.21
545.6,4828.892,6.24
557.6,4847.885,6.09
569.3,4923.76,6.59
575.7,4938.728,6.89
579.5,4971.349,7.08
583.4,4947.104,7.33
589.6,4939.759,7.91
588.4,4946.77,7.83
599.1,4992.357,8.44
616.4,4938.857,8.03
632.9,5072.996,7.36
658.4,5100.447,7.25
679.6,5142.422,7.64
698.4,5154.547,7.39
717.7,5249.337,7.19
738.4,5368.485,7.3
759.5,5419.184,7.21
786.9,5509.926,7.21
810.3,5646.286,7.15
819.7,5707.755,7.26
836.5,5677.738,7.45
842.6,5731.632,7.6
859.7,5682.353,7.83
872.9,5695.859,8.25
881.4,5642.025,8.72
893.3,5620.126,9.27
906.3,5551.713,8.83
935.1,5591.382,8.95
975.1,5687.087,8.84
997.8,5763.665,8.86
1026.6,5893.276,8.6
1060.8,5936.515,8.4
1086.3,5969.089,8.56
1125.0,6012.356,8.32
1165.2,6083.391,7.96
1199.6,6201.659,8.04
1226.7,6313.559,7.94
1254.0,6313.697,8.04
1279.7,6333.848,8.41
1300.4,6578.605,8.56
1324.1,6644.754,8.88
1352.3,6734.069,8.89
1371.6,6746.176,9.25
1402.1,6753.389,9.38
1434.8,6803.558,9.2
1460.4,6820.572,10.13
1482.7,6842.024,11.09
1502.2,6701.046,12.04
1545.5,6693.082,11.07
1584.8,6817.903,12.31
1606.9,6951.495,12.81
1659.2,6899.98,13.88
1681.9,6982.609,14.38
1721.8,6906.529,15.4
1770.4,6799.233,15.18
1803.9,6830.251,14.46
1831.5,6804.139,14.61
1869.7,6806.857,12.12
1959.4,6896.561,11.79
2028.6,7053.5,11.51
2064.8,7194.504,12.15
2099.2,7344.597,12.25
2138.2,7488.167,12.2
2191.7,7617.547,12.81
2223.5,7690.985,13.44
2258.9,7754.117,12.63
2332.4,7829.26,12.08
2375.4,7898.194,12.23
2429.5,8018.809,10.97
2468.0,8078.415,11.02
2502.1,8153.829,10.05
2557.8,8190.552,8.79
2626.6,8268.935,8.88
2687.4,8313.338,8.86
2743.9,8375.274,8.36
2767.7,8465.63,8.85
2779.0,8539.075,9.42
2814.8,8685.694,10.52
2847.4,8730.569,9.88
2910.7,8845.28,9.67
2947.2,8897.107,9.96
2965.3,9015.661,9.51
2991.7,9107.314,9.62
3006.0,9176.827,9.79
3052.4,9244.816,8.93
3114.1,9263.033,8.92
3166.8,9364.259,8.99
3201.6,9398.243,9.46
3224.5,9404.494,9.24
3259.3,9318.876,9.53
3287.7,9275.276,9.04
3332.4,9347.597,8.86
3356.1,9394.834,9.0
3360.1,9427.581,8.55
3381.2,9540.444,8.2
3399.7,9643.893,8.33
3393.9,9739.185,8.07
3423.8,9840.753,7.99
3419.1,9857.185,7.91
3411.3,9914.565,7.46
3442.0,9961.873,7.17
3456.7,10097.362,6.67
3474.9,10195.338,6.92
3481.3,10333.495,7.88
3488.2,10393.898,8.11
3484.3,10512.962,8.57
3492.4,10550.251,8.46
3499.2,10581.723,8.03
3567.4,10671.738,7.41
3613.4,10744.203,7.12
3647.9,10824.674,6.81
3697.8,11005.217,7.5
3737.2,11103.935,7.65
3772.9,11219.238,7.39
3834.7,11291.665,7.42
3877.3,11479.33,7.73
3924.2,11622.911,7.14
3992.7,11722.722,7.0
4056.6,11839.876,6.61
4140.6,11949.492,6.69
4204.4,12099.191,6.55
4308.4,12294.737,6.37
4403.3,12410.778,6.24
4461.4,12514.408,6.64
4535.2,12679.977,7.19
4592.2,12888.281,7.55
4666.9,12935.252,7.78
4766.8,13170.749,7.64
4790.0,13183.89,7.65
4869.7,13262.25,7.55
4975.8,13219.251,7.15
5135.9,13301.394,7.2
5203.2,13248.142,7.13
5336.8,13284.881,7.03
5453.9,13394.91,6.55
5495.5,13477.356,6.76
5589.2,13531.741,6.53
5700.6,13549.421,6.32
5804.5,13619.434,6.17
5898.8,13741.107,5.74
6042.6,13970.157,5.49
6063.6,14131.379,5.7
6075.5,14212.34,5.54
6191.1,14323.017,5.73
6283.9,14457.832,5.82
6372.9,14605.595,5.47
6424.1,14767.846,5.36
6455.7,14839.707,5.33
6537.1,14956.291,5.06
6638.1,15041.232,5.35
6723.6,15244.088,5.29
6799.6,15281.525,5.84
6885.8,15304.517,5.85
6992.8,15433.643,5.51
7108.5,15478.956,5.4
7230.5,15577.779,5.47
7307.8,15671.605,5.73
7416.1,15767.146,5.66
7504.8,15702.906,5.33
7698.2,15792.773,5.55
7774.2,15709.562,5.67
7967.2,15366.607,6.28
8275.3,15187.475,5.05
8373.7,15161.772,5.39
8445.8,15216.647,5.41
8471.5,15379.155,5.15
8458.5,15456.059,5.26
8535.8,15605.628,5.29
8619.4,15726.282,4.72
8749.8,15807.995,4.68
8823.2,15769.911,5.04
9004.9,15876.839,5.16
9317.0,15870.684,4.93
9563.5,16048.702,3.98
9735.6,16179.968,3.85
9894.0,16253.726,3.96
10059.5,16282.151,3.4
10260.8,16300.035,3.47
10481.1,16441.485,3.8
10593.7,16464.402,3.73
10732.4,16594.743,4.34
10952.1,16712.76,4.53
11079.9,16654.247,4.49
11263.1,16868.109,4.24
11437.4,17064.616,4.16
11562.1,17141.235,3.92
11747.4,17280.647,3.46
11931.1,17380.875,3.52
12055.9,17437.08,4.15
12196.5,17462.579,3.95
12475.9,17565.465,4.0
12701.5,17618.581,3.62
12894.0,17724.489,3.28
13105.6,17812.56,3.51
13295.3,17896.623,3.92
13493.2,17996.802,3.87
13628.1,18126.226,3.7
13771.7,18296.685,3.6
13876.1,18436.262,3.55
14005.5,18590.004,3.85
14159.4,18679.599,3.87
14239.7,18721.281,4.14
14446.8,18833.195,3.93
14572.7,18982.528,3.69
14862.1,19112.653,3.29
15156.7,19202.31,3.01
15410.0,18951.992,2.94
17042.9,17258.205,2.43
18320.0,18560.774,2.14
18751.1,18767.778,2.35
19396.5,19055.655,2.45
20119.9,19358.176,2.9
